Date,Total,Off Peak Consumption,Mid Peak Consumption,On Peak Consumption,Off Peak Rate,Mid Peak Rate,On Peak Rate,Total Consumption
2017-09-30,9.290000000000001,185.10571428571427,38.511428571428574,32.70428571428572,0.065,0.132,0.095,256.32142857142856
2017-10-31,69.81172413793104,314.61862068965513,94.15241379310345,62.90793103448276,0.065,0.132,0.095,471.6789655172414
2017-11-30,86.68,385.11066666666665,109.71333333333332,113.906,0.065,0.132,0.095,608.73
2017-12-31,91.0115625,415.3375,91.1290625,137.89125,0.065,0.132,0.095,644.3578125
2018-01-31,88.07000000000001,401.90000000000003,92.62705882352941,127.18117647058823,0.065,0.132,0.095,621.7082352941177
2018-02-28,83.04416666666667,365.9766666666667,87.18666666666667,117.97,0.065,0.132,0.095,571.1333333333333
2018-03-31,67.129375,247.19375000000002,62.94,101.69812499999999,0.065,0.132,0.095,411.83187499999997
2018-04-30,68.818,278.32,68.04233333333333,91.848,0.065,0.132,0.095,438.2103333333333
2018-05-31,70.64454545454545,292.60939393939395,86.03030303030303,87.84212121212121,0.065,0.132,0.09475757575757576,466.48181818181814
2018-06-30,79.01166666666667,332.7116666666667,128.46,101.69,0.065,0.132,0.094,562.8616666666667
2018-07-31,75.53413793103448,332.5458620689655,110.57862068965518,96.24241379310344,0.065,0.132,0.094,539.3668965517242
2018-08-31,66.07235294117646,288.40882352941173,77.32882352941176,78.19588235294117,0.065,0.132,0.094,443.9335294117647
2018-09-30,78.89666666666666,410.8803703703704,91.91148148148147,85.4137037037037,0.065,0.132,0.094,588.2055555555555
2018-10-31,19.928666666666665,246.83466666666666,80.06066666666666,60.312666666666665,0.065,0.132,0.094,387.20799999999997
2018-11-30,-41.07742857142858,342.08542857142857,108.23028571428571,87.00714285714285,0.065,0.132,0.094,537.3228571428572
2018-12-31,75.42999999999999,340.21259259259256,87.43148148148148,103.83777777777777,0.065,0.132,0.094,531.4818518518518
2019-01-31,74.87764705882353,337.23176470588237,79.53941176470589,107.56529411764706,0.065,0.132,0.094,524.3364705882353
2019-02-28,73.1575,282.8208333333333,86.86583333333333,119.44666666666667,0.065,0.132,0.094,489.1333333333333
2019-03-31,64.8515625,235.420625,76.520625,95.29625,0.065,0.132,0.094,407.2375
2019-04-30,62.910333333333334,220.268,68.41633333333333,92.56066666666666,0.065,0.132,0.094,381.245
2019-05-31,64.18909090909091,224.4860606060606,74.54787878787879,83.88090909090909,0.065,0.13248484848484848,0.094,382.9148484848485
2019-06-30,62.56928571428571,224.1942857142857,84.27071428571429,65.76142857142858,0.065,0.134,0.094,374.2264285714286
2019-07-31,56.641176470588235,205.29823529411766,64.97470588235294,51.54529411764705,0.065,0.134,0.094,321.81823529411764
2019-08-31,63.465,256.9483333333333,66.94333333333333,66.93333333333332,0.065,0.134,0.094,390.825
2019-09-30,64.84357142857144,266.7578571428571,69.94749999999999,68.46071428571429,0.065,0.134,0.094,405.1660714285714
2019-10-31,61.56588235294118,284.92117647058825,56.978235294117646,47.33470588235294,0.065,0.134,0.094,389.23411764705884
2019-11-30,68.19,322.89142857142855,67.18,62.002857142857145,0.07014285714285715,0.14457142857142857,0.10114285714285715,452.07428571428574
